classifier	type	precision	recall	accuracy
NB	1	0.873619631902	0.990264255911	0.928292046936
NB	2	0.962162162162	0.633451957295	0.763948497854
LR	1	0.833729216152	0.97635605007	0.899423446509
LR	2	0.892405063291	0.501779359431	0.642369020501
SVM	1	0.832941176471	0.984700973574	0.902485659656
SVM	2	0.926666666667	0.494661921708	0.645011600928
DT	1	0.839215686275	0.892906815021	0.865229110512
DT	2	0.672340425532	0.562277580071	0.612403100775
RF	1	0.788888888889	0.987482614743	0.877084620136
RF	2	0.91	0.32384341637	0.477690288714
GBDT	1	0.815724815725	0.923504867872	0.866275277234
GBDT	2	0.704301075269	0.466192170819	0.561027837259
